full_name,team_name,player_position,current_fpl_cost,playing_time_min_percentage,xg_per_90,xag_per_90,yellows_per_90,reds_per_90,team_xg_per_90,team_xg_against_per_90,gameweek,is_at_home,team_league_position
Marc Guéhi,Man City,Defender,52,100.0,0.13,0.09,0.19,0.0,1.96,1.2,24.0,0.0,2.0
Joško Gvardiol,Man City,Defender,59,90.76,0.13,0.03,0.14,0.0,1.96,1.2,24.0,0.0,2.0
Abdukodir Khusanov,Man City,Defender,54,69.38,0.0,0.02,0.16,0.0,1.96,1.2,24.0,0.0,2.0
Matheus Nunes,Man City,Defender,54,92.5,0.03,0.09,0.22,0.0,1.96,1.2,24.0,0.0,2.0
Rúben dos Santos Gato Alves Dias,Man City,Defender,56,94.67,0.02,0.01,0.11,0.0,1.96,1.2,24.0,0.0,2.0
Nico O'Reilly,Man City,Defender,50,81.21,0.13,0.15,0.22,0.0,1.96,1.2,24.0,0.0,2.0
Phil Foden,Man City,Midfielder,84,87.41,0.29,0.23,0.16,0.0,1.96,1.2,24.0,0.0,2.0
Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielder,62,81.55,0.05,0.15,0.21,0.0,1.96,1.2,24.0,0.0,2.0
Jérémy Doku,Man City,Midfielder,64,66.11,0.2,0.39,0.0,0.0,1.96,1.2,24.0,0.0,2.0
Rodrigo 'Rodri' Hernandez Cascante,Man City,Midfielder,63,62.42,0.01,0.11,0.15,0.0,1.96,1.2,24.0,0.0,2.0
Nico González Iglesias,Man City,Midfielder,59,79.06,0.03,0.05,0.27,0.0,1.96,1.2,24.0,0.0,2.0
Tijjani Reijnders,Man City,Midfielder,52,71.97,0.24,0.19,0.13,0.0,1.96,1.2,24.0,0.0,2.0
Erling Haaland,Man City,Forward,150,93.77,0.94,0.15,0.0,0.0,1.96,1.2,24.0,0.0,2.0
Gianluigi Donnarumma,Man City,Goalkeeper,57,100.0,0.0,0.0,0.25,0.0,1.96,1.2,24.0,0.0,2.0
Max Alleyne,Man City,Defender,43,76.67,0.25,0.02,0.0,0.0,1.96,1.2,24.0,0.0,2.0
Bryan Mbeumo,Man Utd,Midfielder,83,96.73,0.45,0.18,0.17,0.0,1.96,1.32,24.0,1.0,4.0
Altay Bayındır,Man Utd,Goalkeeper,47,100.0,0.0,0.05,0.0,0.0,1.96,1.32,24.0,1.0,4.0
Matthijs de Ligt,Man Utd,Defender,49,100.0,0.1,0.03,0.0,0.0,1.96,1.32,24.0,1.0,4.0
Lisandro Martínez,Man Utd,Defender,48,62.53,0.01,0.06,0.0,0.0,1.96,1.32,24.0,1.0,4.0
Diogo Dalot Teixeira,Man Utd,Defender,45,84.39,0.08,0.11,0.17,0.0,1.96,1.32,24.0,1.0,4.0
Patrick Dorgu,Man Utd,Defender,44,67.02,0.14,0.18,0.34,0.0,1.96,1.32,24.0,1.0,4.0
Luke Shaw,Man Utd,Defender,45,97.87,0.0,0.05,0.18,0.0,1.96,1.32,24.0,1.0,4.0
